PERMITENTRANCEID,PERMITENTRANCEZONEID,ZONE
"564","16226","Namakan"
"155","53755","Mt Whitney"
"156","53756","Mt Whitney"
"157","53757","Mt Whitney"
"158","53758","Mt Whitney"
"159","53759","Mt Whitney"
"160","53760","Mt Whitney"
"167","53761","Mt Whitney"
"168","53762","Mt Whitney"
"169","53763","Mt Whitney"
"170","53764","Mt Whitney"
"171","53765","Mt Whitney"
"166","53766","Mt. Whitney Trail"
"172","53767","Mt Whitney"
"173","53768","Mt Whitney"
"174","53769","Mt Whitney"
"175","53770","Mt Whitney"
"176","53771","Mt Whitney"
"177","53772","Mt Whitney"
"178","53773","Mt Whitney"
"179","53774","Mt Whitney"
"180","53775","Mt Whitney"
"181","53776","Mt Whitney"
"182","53777","Mt Whitney"
"183","53778","Mt Whitney"
"184","53779","Mt Whitney"
"185","53780","Mt Whitney"
"186","53781","Mt Whitney"
"187","53782","Mt Whitney"
"188","53783","Mt Whitney"
"189","53784","Mt Whitney"
"190","53785","Mt Whitney"
"191","53786","Mt Whitney"
"192","53787","Mt Whitney"
"193","53788","Mt Whitney"
"194","53789","Mt Whitney"
"290","53790","Camper Flat"
"291","53791","Genevieve"
"292","53792","Grouse Lakes"
"293","53793","Phipps"
"294","53794","Rockbound Lake"
"295","53795","Brown Mountain"
"296","53796","Lelands"
"297","53797","Schmidell"
"298","53798","Lyons"
"299","53799","Avalanche"
"300","53800","Stony Ridge"
"301","53801","Triangle"
"302","53802","Unknown"
"303","53803","Unknown"
"304","53804","Unknown"
"305","53805","Lake of the Woods"
"306","53806","Unknown"
"307","53807","Highland"
"308","53808","Lakes #3 and #5"
"309","53809","Unknown"
"310","53810","Unknown"
"311","53811","General Creek"
"312","53812","Rubicon "
"313","53813","Unknown"
"314","53814","Unknown"
"315","53815","Unknown"
"316","53816","Ralston"
"317","53817","Tells"
"318","53818","Unknown"
"319","53819","Unknown"
"320","53820","Unknown"
"321","53821","Unknown"
"322","53822","Unknown"
"323","53823","Unknown"
"324","53824","Unknown"
"325","53825","Lawrence"
"326","53826","Red Peak"
