CREATEDDATE,DISTRICT,FACILITYID,LASTUPDATEDDATE,LATITUDE,LONGITUDE,PERMITENTRANCEACCESSIBLE,PERMITENTRANCEDESCRIPTION,PERMITENTRANCEID,PERMITENTRANCENAME,PERMITENTRANCETYPE,TOWN
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","48.0625","-90.4394444444","No","Method of travel is paddle. Access is from West Bearskin Lake with a 70-rod portage to Duncan Lake and an 80-rod portage to Rose.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","1","Duncan Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","LaCroix District","233396","2018-07-05 05:15:58","47.9144","-92.322","No","Method of travel is day use motor. 25 h.p. motor maximum. Access is from Lake Vermilion via a 180-rod portage suitable for portage wheels. Commercial portage service available. For more information, please call the LaCroix Ranger District at in Cook 218-666-0020.","2","Trout Lake (dm)","Entry Point","Cook"
"2014-05-02 18:31:41","Kawishiwi District","233396","2018-07-05 05:15:58","47.9533333333","-91.7207898333","No","Method of travel is day use motor. 25 h.p. motor limit. Access is a boat landing at Fall Lake. Valid on Fall, Newton, and Basswood Lakes (except the paddle only area of Basswood).  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","3","Fall Lake and Beyond (dm,dc)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","47.91087","-90.6544498333","No","Method of travel is hiking. Trailhead is on Forest Road 326, one third of a mile south of the Brule Lake parking lot. Park at Brule Lake. Total trail distance 7 miles.  Connects with Brule Lake Trail; access to Eagle Mountain.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","4","Brule Lake Trail (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2018-07-05 05:15:58","47.955727","-91.5622198333","No","Method of travel is paddle. Access the North Kawishiwi River through Ojibway Lake and Triangle Lake utilizing two portages.  For more information,  contact the Kawishiwi Ranger Station at 218-365-7561.","5","North Kawishiwi River (op)","Entry Point","Ely"
"2014-05-02 18:31:41","Kawishiwi District","233396","2018-07-05 05:15:58","47.977333","-91.4322898333","No","Method of travel is paddle or motor. Motor use OR possession requires an overnight motor permit (25 h.p. maximum). Access is a boat landing or canoe launch at Snowbank Lake. For more information, contact the Kawishiwi Ranger Station at 218-365-7561.","6","Snowbank Lake (op,om)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","48.0541666667","-90.0538888889","No","Method of travel is paddle.  Access from Little John, down the Royal River with an 88-rod and a 160-rod portage to get to North Fowl Lake.  Border lake between U.S. and Canada. For more information, please call the Gunflint Ranger Station at 218-387-1750.","7","North Fowl Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","47.9547","-90.4423","No","Method of travel is paddle. Access is a 97-rod portage from the parking area.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","8","Ram Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2018-07-05 05:15:58","48.0918118333","-91.9907198333","No","Method of travel is paddle. Access LaPond Lake with a 160 rod portage from Big Lake. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561","9","From Big Lake (op)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","48.077964","-90.49696","No","Method of travel is hiking only (if paddling, use entry #60). 4 mile hike. No parking available. For more information, please call the Gunflint Ranger Station at 218-387-1750.","10","Partridge Lake Trail (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2018-07-05 05:15:58","47.96824","-91.463684","No","Method of travel is hiking. Loop option includes 27 miles of the Snowbank Trail, plus the 46 mile Kekekabic Trail that continues to the east side trail head. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","11","Kekekabic Trail (west) /Snowbank (oh)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","48.0715988333","-90.383813","No","Method of travel is hiking. 53 mile hiking trail. Shorter options available For more information, please call the Gunflint Ranger Station in Grand Marais at (218)387-1750.","12","Border Route Trail (center) (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Tofte District","233396","2018-07-05 05:15:58","47.92566","-90.6449318333","No","Method of travel is paddle. The access is a boat landing at Brule Lake. Large lake with many campsites.  For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","13","Brule Lake (op)","Entry Point","Tofte"
"2014-05-02 18:31:41","Gunflint District","233396","2018-07-05 05:15:58","48.120834","-90.84028","No","Method of travel is paddle. Access from the canoe landing at Larch Creek. For more information, please call the Gunflint Ranger Station at 218-387-1750.","14","Larch Creek (op)","Entry Point","Grand Marais"
