ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,LASTUPDATEDDATE,POSTALCODE,RECAREAADDRESSID,RECAREAADDRESSTYPE,RECAREAID,RECAREASTREETADDRESS1,RECAREASTREETADDRESS2,RECAREASTREETADDRESS3
"USA","AZ","Lake Havasu City","2017-06-21","86403","586","","597","Lake Havasu Field Office","1785 Kiowa Avenue",""
"USA","AK","Fairbanks","2008-12-29","99709","588","","601","Bureau of Land Management   ","Fairbanks District Office","1150 University Avenue"
"USA","CA","El Dorado Hills","2017-11-08","95762","593","","613","Bureau of Land Management","Mother Lode Field Office","5152 Hillsdale Circle"
"USA","CA","Ridgecrest ","2017-06-21","93555","596","","619","Bureau of Land Management","Ridgecrest Field Office","300 S. Richmond Rd."
"USA","AZ","Kingman","2011-07-19","86401","597","","621","Kingman Field Office","2755 Mission Boulevard",""
"USA","CO","Meeker","2017-10-03","81641","599","","708","White River Field Office","220 East Market Street",""
"USA","CA","Galt","2017-06-12","95632","602","","980","Bureau of Land Management","Cosumnes River Preserve","13501 Franklin Blvd"
"USA","WA","Spokane","2017-06-21","99212","663","","1149","Spokane District Office ","1103 N Fancher Road ",""
"USA","OR","Medford","2011-08-01","97504","667","","1162","Medford District Office","3040 Biddle Road",""
"USA","NV","Fallon","2017-06-21","89406","679","","1198","Grimes Point Rest Area","US Highway 50",""
"USA","CA","Barstow","2017-06-20","92311","694","","1237","Bureau of Land Management","Barstow Field Office","2601 Barstow Rd."
"USA","MA","Sudbury","2007-03-06","01776","773","","1530","c/o Eastern MA NWR Complex","73 Weir Hill Road",""
"USA","WY","Jackson","2004-07-09","83001","774","","1532","P.O. Box 510","",""
"USA","OK","Butler","2007-03-06","73625","777","","1545","Rt. 1 Box 68","",""
"USA","AR","Parkdale","2007-03-06","71661","778","","1549","3858 Hwy 8 E","",""
"USA","MO","Lawrence County","2007-03-06","","779","","1553","","",""
"USA","FL","Sanibel","2007-03-06","33957","781","","1567","1 Wildlife Drive","",""
"USA","ME","Rockport","2007-03-06","04856","782","","1571","PO Box 495","",""
"USA","WA","Ridgefield","2007-03-06","98642","784","","1581","301 N Third Ave","",""
"USA","CA","Willows","2007-03-06","95988","786","","1588","752 County Rd 99W","",""
"USA","OK","Jet","2007-03-06","73749","787","","1591","Route 1, Box 76","",""
"USA","CA","Petaluma","2007-03-06","94954","789","","1597","7715 Lakeville hwy","",""
"USA","VI","Christiansted","2004-07-08","00820-4355","790","","1600","Federal Building, Suite 1673013 Estate Golden Rock","",""
"USA","MI","Seney","2007-03-06","49883","792","","1608","1674 Refuge Entrance Rd.","",""
"USA","OK","Vian","2007-03-06","74962","793","","1609","Route 1, Box 18A","",""
"USA","MS","Sibley","2007-03-06","39165","795","","1617","76 Pintail Lane","",""
"USA","NC","Swan Quarter","2007-03-06","27885","797","","1631","38 Mattamuskeet Road","",""
"USA","LA","Tallulah","2007-03-06","71282","799","","1638","2312 Quebec Road","",""
"USA","ND","Cayuga","2007-03-06","58013","800","","1640","9754 143 ý Ave. S.E.","",""
"USA","OK","Tishomingo","2007-03-06","73460","801","","1644","12000 South Refuge Road","",""
"USA","WA","Toppenish","2007-03-06","","802","","1646","State Rte 97, 10 miles south of","",""
"USA","WA","Cheney","2007-03-06","99004","803","","1650","26010 South Smith Rd","",""
"USA","OR","Klamath Falls","2007-03-06","","804","","1655","Off Hwy 40 near","",""
"USA","NE","Valentine","2007-03-06","69201","805","","1659","HC 37 Box 37","",""
"USA","NH","Peterborough","2007-03-06","03468","806","","1662","Route 101","",""
"USA","OK","Butler","2007-03-06","73625","807","","1665","Rt. 1 Box 68","",""
"USA","NY","Shirley","2007-03-06","11967","808","","1669","360 Smith Rd.","",""
